10,2024-01-12 00:50:00,89,94.09303132921134,2
13,2024-01-25 00:06:00,45,99.13071820075994,1
17,2024-01-10 00:16:00,70,32.25079669628593,2
20,2024-01-03 00:44:00,80,17.989065469699163,1
23,2024-01-05 00:28:00,97,89.18348373477448,2
47,2024-01-28 01:16:00,9,92.47784900788596,2
52,2024-01-23 01:21:00,20,35.23012772962713,2
53,2024-01-28 00:16:00,99,18.858177019123186,1
56,2024-01-17 00:28:00,94,41.48164556268327,2
68,2024-01-27 00:25:00,52,54.75062755179962,2
93,2024-01-11 02:25:00,7,37.23763065731331,1
103,2024-01-04 01:07:00,95,90.99185890192047,1
106,2024-01-29 01:43:00,64,69.99520479348564,1
127,2024-01-12 00:12:00,43,60.638870770417824,1
132,2024-01-12 01:47:00,64,27.829377481697865,2
138,2024-01-10 00:36:00,6,19.019021414547208,2
148,2024-01-04 00:17:00,59,70.10742000157124,1
157,2024-01-01 00:33:00,54,36.39394771685472,1
158,2024-01-08 00:16:00,81,73.45180313819306,2
162,2024-01-09 00:35:00,21,46.40673220755629,2
165,2024-01-24 02:28:00,88,88.5047676402873,2
191,2024-01-17 01:56:00,28,56.10544568975051,2
198,2024-01-20 01:04:00,13,41.84163869220146,2
199,2024-01-30 00:43:00,15,62.313583457736364,1
205,2024-01-04 01:02:00,44,95.31648250762552,2
230,2024-01-02 00:58:00,79,86.58377446899169,1
254,2024-01-20 00:07:00,19,70.0230032619286,2
274,2024-01-12 00:31:00,5,59.112646797980375,2
275,2024-01-23 00:33:00,21,42.49949315041649,1
279,2024-01-12 00:09:00,79,15.437079252504477,1
286,2024-01-15 00:58:00,92,27.523331405757304,1
302,2024-01-15 01:06:00,99,19.595177768008973,1
303,2024-01-29 01:10:00,48,34.719887042192816,2
326,2024-01-05 01:14:00,13,24.713860153293577,2
339,2024-01-29 00:07:00,51,70.14010245338758,1
360,2024-01-27 01:10:00,0,27.348581955622013,2
365,2024-01-15 01:19:00,10,82.85172870547309,2
383,2024-01-28 00:31:00,49,54.74827024056688,2
384,2024-01-10 01:03:00,85,92.56005281316155,2
387,2024-01-04 00:06:00,50,92.16390135676885,2
426,2024-01-29 00:48:00,75,46.24103936956903,1
429,2024-01-11 00:22:00,8,72.95413371374588,2
434,2024-01-28 00:36:00,13,72.07501470819929,2
443,2024-01-14 00:21:00,13,55.251140878856724,2
448,2024-01-03 00:22:00,12,42.22811150150293,2
456,2024-01-03 01:35:00,44,51.837651849084125,2
495,2024-01-08 00:15:00,24,42.27981529146318,2
496,2024-01-28 00:59:00,30,96.15899755513351,2
497,2024-01-16 02:00:00,21,56.104433752153284,1
500,2024-01-29 00:09:00,30,19.829897954877808,1
507,2024-01-20 00:26:00,22,60.09612102600304,2
531,2024-01-23 01:37:00,89,85.6630232725473,2
545,2024-01-15 02:19:00,38,19.71050693448845,2
548,2024-01-30 00:19:00,60,21.49216499108746,1
554,2024-01-10 00:21:00,43,22.404168709504123,1
556,2024-01-16 00:55:00,23,59.4448705088125,1
559,2024-01-06 02:02:00,33,43.16081551544811,2
567,2024-01-12 00:29:00,36,82.06912370056318,1
587,2024-01-23 00:13:00,16,40.35655262846288,2
604,2024-01-19 00:15:00,1,40.87824549317343,2
608,2024-01-07 00:29:00,91,45.67733839144632,1
609,2024-01-27 00:16:00,3,89.53731650615437,2
611,2024-01-10 00:09:00,22,14.765391805989914,2
614,2024-01-27 00:57:00,60,98.99201751740266,2
621,2024-01-02 00:09:00,75,47.50333685156449,1
629,2024-01-18 00:03:00,90,44.5353669772249,2
636,2024-01-19 01:40:00,21,76.1730308970872,2
659,2024-01-05 00:37:00,59,64.16900103653305,2
664,2024-01-28 01:03:00,30,60.749111033063706,1
680,2024-01-06 00:08:00,25,89.61427505791872,1
682,2024-01-30 00:11:00,48,79.44473161326275,2
688,2024-01-30 00:08:00,49,21.469622815730066,2
707,2024-01-27 00:06:00,46,68.22651879518389,2
711,2024-01-24 01:16:00,15,70.6392479059586,2
721,2024-01-18 02:01:00,2,70.33982682616531,1
729,2024-01-19 00:28:00,85,41.245625964994545,1
743,2024-01-02 00:46:00,83,93.81735269611751,1
751,2024-01-01 00:59:00,93,20.5382452085057,1
773,2024-01-09 01:07:00,5,20.725829141291623,1
786,2024-01-13 00:47:00,84,43.639456889498156,1
801,2024-01-17 02:10:00,61,33.059204819387666,1
809,2024-01-23 00:10:00,10,61.474840046629296,1
822,2024-01-20 00:15:00,41,42.31732048398834,2
830,2024-01-04 01:02:00,54,94.8200707627311,2
841,2024-01-03 00:05:00,13,83.3270391064431,2
847,2024-01-15 01:05:00,86,60.25028094877703,2
865,2024-01-27 00:51:00,40,37.46984220292493,2
886,2024-01-10 00:29:00,58,12.34273122071762,2
892,2024-01-17 00:18:00,65,92.54023963049835,1
894,2024-01-05 00:06:00,38,72.80473737649653,2
896,2024-01-04 01:14:00,63,47.67935288372407,1
930,2024-01-03 01:46:00,27,55.842736235240274,1
933,2024-01-27 01:55:00,8,84.37565578436778,2
950,2024-01-04 00:19:00,37,73.36266714995543,1
987,2024-01-08 00:38:00,80,26.365470478443818,2
